trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
307,False,"{'a': 0.5, 'e': 0.21545569116974203}",20,14,-42.14439726593276,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
308,False,"{'a': 0.5, 'e': 0.21438110142697794}",30,6,12.34804973660555,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
309,False,"{'a': 0.5, 'e': 0.21331187122291523}",25,6,12.63244155703243,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.21224797382674304}",25,0,31.91528785234022,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
311,False,"{'a': 0.5, 'e': 0.21118938264097117}",35,23,10.815251884571348,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.5, 'e': 0.21013607120076472}",25,0,-39.04644781046576,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
313,False,"{'a': 0.5, 'e': 0.20908801317328293}",20,2,-29.17023129747669,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
314,False,"{'a': 0.5, 'e': 0.20804518235702046}",20,5,-17.973884471363256,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
315,False,"{'a': 0.5, 'e': 0.20700755268115265}",20,1,33.18634335081918,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.5, 'e': 0.20597509820488344}",20,13,13.331585590946395,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.5, 'e': 0.2049477931167973}",30,18,-17.008697142313096,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
318,False,"{'a': 0.5, 'e': 0.20392561173421342}",25,11,19.343762421882296,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.5, 'e': 0.20290852850254407}",20,2,24.228375392835503,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.5, 'e': 0.20189651799465538}",20,16,8.385388864245954,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.5, 'e': 0.20088955491023208}",25,13,13.777232299818415,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
322,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,12,1.667380980855958,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
323,False,"{'a': 0.5, 'e': 0.19889067044081962}",25,17,4.596476923119332,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
324,False,"{'a': 0.5, 'e': 0.19789869908361465}",25,17,13.191132913216363,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.5, 'e': 0.19691167520419406}",20,12,16.60887241522129,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.5, 'e': 0.19592957412690934}",20,15,7.30074071868014,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.5, 'e': 0.1949523712991825}",25,10,0.7484706462408319,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
328,False,"{'a': 0.5, 'e': 0.19398004229089189}",20,11,13.912726192678008,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.5, 'e': 0.19301256279376172}",25,14,10.096309068331685,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
330,False,"{'a': 0.5, 'e': 0.19204990862075408}",30,7,37.019226342586705,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.5, 'e': 0.19109205570546464}",25,0,21.912102586911857,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
332,False,"{'a': 0.5, 'e': 0.1901389801015205}",25,20,7.444012584286093,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.5, 'e': 0.18919065798198204}",20,14,11.917837863679976,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.5, 'e': 0.1882470656387468}",25,9,13.360937022738325,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.5, 'e': 0.18730817948195702}",25,16,11.657676662039732,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.5, 'e': 0.18637397603940997}",20,8,11.354961122905234,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
337,False,"{'a': 0.5, 'e': 0.18544443195597088}",20,0,-26.384215743473103,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
338,False,"{'a': 0.5, 'e': 0.18451952399298926}",20,7,-1.556314757726407,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
339,False,"{'a': 0.5, 'e': 0.18359922902771786}",25,5,35.911543372731565,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.5, 'e': 0.18268352405273466}",25,13,22.791586479205296,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.5, 'e': 0.1817723861753675}",20,12,14.357317457421445,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.5, 'e': 0.1808657926171221}",20,11,-2.562831516711112,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
343,False,"{'a': 0.5, 'e': 0.17996372071311217}",20,11,17.884800282856258,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.5, 'e': 0.17906614791149322}",20,9,10.436173998389965,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.5, 'e': 0.1781730517728984}",25,11,15.59855904906617,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
346,False,"{'a': 0.5, 'e': 0.17728440996987782}",25,0,-5.504735831358033,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
347,False,"{'a': 0.5, 'e': 0.17640020028634}",30,8,30.455199803511576,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.5, 'e': 0.17552040061699686}",20,13,13.134525076281413,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.5, 'e': 0.17464498896681085}",20,9,17.460923237683268,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,16,13.043797207439033,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.5, 'e': 0.17290724229171636}",25,7,3.5651249946968684,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
352,False,"{'a': 0.5, 'e': 0.17204486382305054}",30,13,-25.578333372799467,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 0}",1
353,False,"{'a': 0.5, 'e': 0.1711867864849409}",20,13,14.210877196764066,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.5, 'e': 0.17033298882540943}",30,22,18.641097853159426,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.5, 'e': 0.16948344949947006}",25,18,10.995118918073729,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.5, 'e': 0.1686381472685955}",25,8,23.710855236803944,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.5, 'e': 0.16779706100018585}",20,13,14.36743933191379,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.5, 'e': 0.1669601696670407}",20,13,5.2080170546723155,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.5, 'e': 0.16612745234683307}",25,11,25.528374392120227,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
